Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,6,0.01,0.01,0.4203893785430943
75% Corpus,6,0.01,0.31,0.4302689861358153
75% Corpus,6,0.01,0.61,0.43955096435992447
75% Corpus,6,0.01,0.9099999999999999,0.45158047486160263
75% Corpus,6,0.01,symmetric,0.43003788868160436
75% Corpus,6,0.31,0.01,0.4223643995294945
75% Corpus,6,0.31,0.31,0.4302689861358153
75% Corpus,6,0.31,0.61,0.4405109116096144
75% Corpus,6,0.31,0.9099999999999999,0.43784029303233357
75% Corpus,6,0.31,symmetric,0.42629375947217185
75% Corpus,6,0.61,0.01,0.41741918290727065
75% Corpus,6,0.61,0.31,0.43026392930290874
75% Corpus,6,0.61,0.61,0.44651280595364956
75% Corpus,6,0.61,0.9099999999999999,0.45134673820192983
75% Corpus,6,0.61,symmetric,0.4230517780610618
75% Corpus,6,0.9099999999999999,0.01,0.4094853223292511
75% Corpus,6,0.9099999999999999,0.31,0.426308695667219
75% Corpus,6,0.9099999999999999,0.61,0.44827295246287074
75% Corpus,6,0.9099999999999999,0.9099999999999999,0.4518560739837892
75% Corpus,6,0.9099999999999999,symmetric,0.4196890948655998
75% Corpus,6,symmetric,0.01,0.42232672263284327
75% Corpus,6,symmetric,0.31,0.4302689861358153
75% Corpus,6,symmetric,0.61,0.4395509643599244
75% Corpus,6,symmetric,0.9099999999999999,0.43964933251760246
75% Corpus,6,symmetric,symmetric,0.42629375947217185
75% Corpus,6,asymmetric,0.01,0.4265339995495568
75% Corpus,6,asymmetric,0.31,0.439122298983398
75% Corpus,6,asymmetric,0.61,0.438451019681589
75% Corpus,6,asymmetric,0.9099999999999999,0.4226379922865456
75% Corpus,6,asymmetric,symmetric,0.43261445912031293
75% Corpus,7,0.01,0.01,0.4495580560236522
75% Corpus,7,0.01,0.31,0.4206124426685854
75% Corpus,7,0.01,0.61,0.4537450763972184
75% Corpus,7,0.01,0.9099999999999999,0.39838791478072694
75% Corpus,7,0.01,symmetric,0.44689146243504274
75% Corpus,7,0.31,0.01,0.44426920569980705
75% Corpus,7,0.31,0.31,0.4188118341549174
75% Corpus,7,0.31,0.61,0.4800527752886133
75% Corpus,7,0.31,0.9099999999999999,0.4347127840725221
75% Corpus,7,0.31,symmetric,0.4544829234707695
75% Corpus,7,0.61,0.01,0.44775538200607307
75% Corpus,7,0.61,0.31,0.42119942803892224
75% Corpus,7,0.61,0.61,0.5088187737380042
75% Corpus,7,0.61,0.9099999999999999,0.4499134162455694
75% Corpus,7,0.61,symmetric,0.4463855739834508
75% Corpus,7,0.9099999999999999,0.01,0.44325820511050823
75% Corpus,7,0.9099999999999999,0.31,0.4234946054996646
75% Corpus,7,0.9099999999999999,0.61,0.5106803158717493
75% Corpus,7,0.9099999999999999,0.9099999999999999,0.4686767422934485
75% Corpus,7,0.9099999999999999,symmetric,0.44978621869672025
75% Corpus,7,symmetric,0.01,0.45112637089462304
75% Corpus,7,symmetric,0.31,0.41254431680140363
75% Corpus,7,symmetric,0.61,0.45364242727921095
75% Corpus,7,symmetric,0.9099999999999999,0.4089619610141315
75% Corpus,7,symmetric,symmetric,0.4559449913157862
75% Corpus,7,asymmetric,0.01,0.4553547740264349
75% Corpus,7,asymmetric,0.31,0.43107124673632086
75% Corpus,7,asymmetric,0.61,0.5303200705858743
75% Corpus,7,asymmetric,0.9099999999999999,0.5002726376058959
75% Corpus,7,asymmetric,symmetric,0.4519384808227373
75% Corpus,8,0.01,0.01,0.3918967971561018
75% Corpus,8,0.01,0.31,0.3983233058743346
75% Corpus,8,0.01,0.61,0.3755542264247481
75% Corpus,8,0.01,0.9099999999999999,0.43407909504601144
75% Corpus,8,0.01,symmetric,0.3833701445216422
75% Corpus,8,0.31,0.01,0.39906922031079056
75% Corpus,8,0.31,0.31,0.40132792402742085
75% Corpus,8,0.31,0.61,0.37576875744004923
75% Corpus,8,0.31,0.9099999999999999,0.417704742926287
